time,open,high,low,close,volume
2021-06-08 23:59:59.999,2590.47000000,2620.07000000,2308.52000000,2507.53000000,11529.12136000
2021-06-09 23:59:59.999,2507.53000000,2625.47000000,2406.61000000,2609.71000000,10123.52855000
2021-06-10 23:59:59.999,2610.70000000,2623.45000000,2426.57000000,2470.39000000,6349.12663000
2021-06-11 23:59:59.999,2470.42000000,2497.08000000,2321.42000000,2353.25000000,5727.52661000
2021-06-12 23:59:59.999,2355.46000000,2453.24000000,2250.00000000,2368.54000000,6579.22322000
2021-06-13 23:59:59.999,2370.37000000,2550.01000000,2308.64000000,2508.43000000,7551.51830000
2021-06-14 23:59:59.999,2510.57000000,2608.46000000,2458.95000000,2581.26000000,5267.37475000
2021-06-15 23:59:59.999,2580.46000000,2639.88000000,2507.94000000,2543.72000000,4354.80467000
2021-06-16 23:59:59.999,2542.01000000,2556.27000000,2350.33000000,2368.38000000,5985.19119000
2021-06-17 23:59:59.999,2367.17000000,2460.00000000,2300.00000000,2373.14000000,5779.71950000
2021-06-18 23:59:59.999,2369.74000000,2379.38000000,2138.76000000,2226.33000000,8409.29710000
2021-06-19 23:59:59.999,2233.40000000,2277.92000000,2162.08000000,2164.81000000,5370.95624000
2021-06-20 23:59:59.999,2164.09000000,2277.06000000,2041.37000000,2242.41000000,7944.96618000
2021-06-21 23:59:59.999,2244.54000000,2259.70000000,1865.59000000,1891.86000000,25047.32255000
2021-06-22 23:59:59.999,1887.14000000,1997.42000000,1700.51000000,1878.64000000,21416.83509000
2021-06-23 23:59:59.999,1878.77000000,2043.50000000,1823.41000000,1968.04000000,12612.13554000
2021-06-24 23:59:59.999,1969.77000000,2035.78000000,1885.23000000,1987.68000000,6232.69322000
2021-06-25 23:59:59.999,1990.56000000,2020.24000000,1791.37000000,1810.18000000,11706.31915000
2021-06-26 23:59:59.999,1809.46000000,1852.06000000,1718.00000000,1828.69000000,10266.34832000
2021-06-27 23:59:59.999,1831.40000000,1984.90000000,1807.14000000,1983.00000000,6181.65537000
2021-06-28 23:59:59.999,1983.02000000,2144.95000000,1961.26000000,2082.31000000,10333.69844000
2021-06-29 23:59:59.999,2083.30000000,2244.36000000,2074.01000000,2163.87000000,7143.01018000
2021-06-30 23:59:59.999,2164.65000000,2287.25000000,2088.68000000,2275.13000000,10389.72841000
2021-07-01 23:59:59.999,2276.42000000,2276.42000000,2072.92000000,2106.46000000,9316.42831000
2021-07-02 23:59:59.999,2108.29000000,2159.09000000,2018.93000000,2154.88000000,8374.30976000
2021-07-03 23:59:59.999,2154.97000000,2239.20000000,2112.72000000,2227.18000000,4795.17273000
2021-07-04 23:59:59.999,2227.74000000,2389.47000000,2189.40000000,2323.19000000,5939.92059000
2021-07-05 23:59:59.999,2321.32000000,2324.37000000,2158.56000000,2195.96000000,8020.60775000
2021-07-06 23:59:59.999,2197.18000000,2350.00000000,2192.66000000,2325.17000000,5865.69591000
2021-07-07 23:59:59.999,2322.26000000,2409.55000000,2293.49000000,2315.39000000,3782.51905000
2021-07-08 23:59:59.999,2314.08000000,2324.45000000,2085.63000000,2113.84000000,5983.01622000
2021-07-09 23:59:59.999,2114.10000000,2189.23000000,2047.93000000,2146.79000000,5395.76942000
2021-07-10 23:59:59.999,2148.04000000,2191.45000000,2074.41000000,2110.65000000,3565.40690000
2021-07-11 23:59:59.999,2111.49000000,2173.41000000,2080.92000000,2139.38000000,2013.73492000
2021-07-12 23:59:59.999,2139.23000000,2168.05000000,2007.95000000,2032.37000000,3951.09755000
2021-07-13 23:59:59.999,2032.16000000,2046.55000000,1918.30000000,1940.79000000,5270.43446000
2021-07-14 23:59:59.999,1942.58000000,2019.06000000,1864.00000000,1994.32000000,5048.85490000
2021-07-15 23:59:59.999,1995.67000000,2039.84000000,1882.00000000,1916.17000000,5408.92616000
2021-07-16 23:59:59.999,1919.16000000,1965.44000000,1850.00000000,1876.40000000,5840.62907000
2021-07-17 23:59:59.999,1875.50000000,1919.63000000,1845.20000000,1898.24000000,2754.88493000
2021-07-18 23:59:59.999,1899.16000000,1994.52000000,1878.22000000,1891.11000000,3746.50337000
2021-07-19 23:59:59.999,1890.00000000,1919.70000000,1805.00000000,1817.08000000,3951.71590000
2021-07-20 23:59:59.999,1819.10000000,1840.78000000,1718.80000000,1786.82000000,5174.02161000
2021-07-21 23:59:59.999,1787.35000000,2032.86000000,1753.50000000,1995.44000000,8735.64762000
2021-07-22 23:59:59.999,1995.69000000,2046.15000000,1947.80000000,2024.70000000,6633.23782000
2021-07-23 23:59:59.999,2025.93000000,2130.87000000,1995.46000000,2123.55000000,5686.61991000
2021-07-24 23:59:59.999,2125.81000000,2198.47000000,2106.02000000,2184.89000000,5777.71185000
2021-07-25 23:59:59.999,2185.84000000,2196.26000000,2106.86000000,2189.09000000,4027.13875000
2021-07-26 23:59:59.999,2190.68000000,2430.83000000,2171.38000000,2228.09000000,23637.42620000
2021-07-27 23:59:59.999,2228.09000000,2320.73000000,2150.98000000,2302.82000000,18231.18800000
2021-07-28 23:59:59.999,2299.90000000,2345.41000000,2243.83000000,2300.21000000,14552.73849000
